City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,klyuchi,52.2667,79.1667,74.34,39,87,5.73,RU,1691635213
84,zheleznogorsk,52.331,35.3711,55.17,87,8,6.06,RU,1691635258
85,tiksi,71.6872,128.8694,69.93,39,29,5.5,RU,1691635258
86,sinabang,2.4803,96.3801,78.19,87,100,3.91,ID,1691635258
87,atafu village,-8.5421,-172.5159,82.42,79,33,14.32,TK,1691634931
88,port lincoln,-34.7333,135.8667,58.62,56,33,10.07,AU,1691634976
89,salalah,17.0151,54.0924,78.89,94,100,8.05,OM,1691635259
90,macherla,16.4833,79.4333,86.5,59,86,5.41,IN,1691635259
91,hamilton,39.1834,-84.5333,74.03,88,75,8.05,US,1691635088
92,polyarnyy,69.1989,33.4478,63.7,78,0,7.9,RU,1691635082
93,edenbridge,51.1917,0.0673,61.86,77,0,2.3,GB,1691635259
94,ballito,-29.539,31.2144,53.74,87,20,1.14,ZA,1691635259
95,port mathurin,-19.6833,63.4167,72.18,75,7,12.68,MU,1691635259
96,aldan,58.6031,125.3894,76.73,46,7,15.23,RU,1691635259
97,invercargill,-46.4,168.35,46.02,69,26,1.01,NZ,1691635259
98,dongkan,33.9997,119.8308,85.21,67,0,10.76,CN,1691635259
99,kimberley,-28.7323,24.7623,53.29,54,0,14.97,ZA,1691635259
100,pacific grove,36.6177,-121.9166,62.65,87,75,8.05,US,1691635260
101,alofi,-19.0595,-169.9187,82.29,74,40,5.75,NU,1691635260
102,mustafakemalpasa,40.0353,28.4117,73.45,83,100,4.99,TR,1691635260
103,cholpon-ata,42.6494,77.0823,71.65,56,0,3.47,KG,1691635260
104,savannakhet,16.566,104.751,86.02,70,40,6.91,LA,1691635260
105,uray,60.1247,64.7758,60.12,59,41,6.78,RU,1691635260
106,gadzhiyevo,69.2551,33.3362,64.2,77,0,7.9,RU,1691635260
107,wailua homesteads,22.0669,-159.378,88.23,76,100,20.71,US,1691635260
108,olonkinbyen,70.9221,-8.7187,43.68,100,100,7.16,SJ,1691635260
109,cesme,38.3228,26.3064,72.88,78,2,15.01,TR,1691635260
110,scarborough,54.2797,-0.4044,63.66,86,73,3.98,GB,1691635057
111,el obeid,13.1842,30.2167,76.91,75,87,10.51,SD,1691635261
112,akhtubinsk,48.2795,46.1722,79.97,36,48,12.46,RU,1691635261
113,vila franca do campo,37.7167,-25.4333,73.81,96,100,9.93,PT,1691635261
114,kourou,5.1552,-52.6478,78.85,88,24,8.19,GF,1691634965
115,bage,-31.3314,-54.1069,55.65,95,90,4.9,BR,1691635261
116,falmouth,50.1544,-5.0711,61.7,100,100,13.8,GB,1691635261
117,broken hill,-31.95,141.4333,59.79,40,2,9.73,AU,1691635261
118,bilibino,68.0546,166.4372,62.31,42,96,7.99,RU,1691635261
119,lompoc,34.6391,-120.4579,70.02,83,100,6.91,US,1691635262
120,roma,43.2128,-75.4557,68.72,84,0,0.0,US,1691635217
121,arraial do cabo,-22.9661,-42.0278,69.57,86,36,18.68,BR,1691635217
122,touros,-5.1989,-35.4608,74.52,84,53,13.13,BR,1691634965
123,ust'-ordynskiy,52.805,104.7508,62.13,94,100,10.36,RU,1691635262
124,sisimiut,66.9395,-53.6735,40.78,90,100,7.83,GL,1691635262
125,hammerfest,70.6634,23.6821,70.25,68,100,1.14,NO,1691635262
126,elliot lake,46.3834,-82.6331,57.02,81,74,4.68,CA,1691635161
127,anloga,5.7947,0.8973,76.08,87,99,12.71,GH,1691635262
